accessionNo,boxNumber,title,placeOfPublication,publisher,dateOfPublication,descriptionContent,type,paper,abstract,keywords,,,,,
E2-1287AC,,,,,,,,"(1964, March 3) ","The President
University of the Philippines Campus
Sir : 
In pursuance of the reservation stated in my letter of 20 Feb, 1964 to the effect that I rejected the proposition ""that the failure of U.P. to obtain the title to ICA equipment is due to the failure of C.A> Ortigas to account for many ICA equipment received while he was project director"" I hereby renew my request in writing that the remaining 50 percent of my cumulative leave be released and that a deed of clearance be issued to me on the ground that all such equipment had been previously acounted for at least once; some, twice; and others, thrice. The following facts and precedents show that all ICA equipment in question had been duly accounted for by their custodians and end-users. 
Facts and Precedents
(1) When Dr. Jose Feliciano, head of Geology Department died his ICA property accountability passed on to Dr. Mateo Tupas. When Dr. Arsenio Gonzales succeeded Dr. Tupas he assumed property accountability, which included equipment from P.A.'s 2265, 3029, 3047 and 6518. Thus Dr. Gonzales considers himself accountible for ICA properties received by Geology department thru the project director. 
(2) When Prof. Enrique Ostrea relinquished the headship of Mining department to Prof. Roman Ramos the latter assumed property accountability including the ICA property purchased for the mining department thru P.A.'s 2265, 3029, 3047, and 6518. This accountability passed on to Dr. Perfecto Guerrero who succeeded Prof. Ramos. Thus like in the Geology department the property responsibiulity has been accounted for twice. 
(3) When Dr. Amando Clemente, head of Chemistry department retired his property accountability passed on to Dr. Salcedo, who in turn passed it on to Dr. Tentamatay, and finally to Dr. Pulido who now assumes the property accountability for ICA equipment received by Chemistry department thru P.A.'s 2283, 3034 and 3049. Thus properties were accounted for thrice in this case. 
(4) Part of the properties received thru P.A.'s 2283, 3034 and 3049 were properly accountability of Dean Valenzuela and this accountability passed on to Dr. Alfredo Santos as a matter of course. 
(5) Similar transfers ran smoothly as mattesr of course for properties procured for Engineering. Thus property accountability of C.A. Ortigas as former project director is a myth particularly because these equipment are here in our laboratories. The department heads say they are here and I believe them because I have seen most of them with my own eyes.
Conclusion
A team of historians employed to process the records will draw the following conclusions :
(1) ""The failure of the 1961 liquidation efforts for the transfer of the title to NEC-ICA properties to U.P. was due to the failure of the project director at that time Dr. V.G. Since to account for said property. The project director then did know what should be done and failed to recognize the fact that he did not know. 
(2) The failure of the second liquidation efforts made in 1963 failed because U.P. submitted an inventory, which was nearly $300,000 lower than the inventory submitted in 1961. [The writer of this letter believes that President Romulo present Project Director is not aware of this decrease].
(3) The 1964 efforts being exerted now stand on excellent chance of succeeding because of the participation of C.A. Ortigas, who is familiar with most of the properties involved in the counterpart projects being liquidated. The records indicate that he was invited to participate in this third efforts but was excluded in the first and in the second.""
In the foregoing I have not only demonstrated that property accountability is the responsibility of the heads of the departments using the equipment but have also located and identified the causes of the failure of the liquidation efforts in 1961 and in 1963. 
Therefore I reiterate that U.P. cease to hold up my clearance. 
Very truly yours, 
C.A. ORTIGAS
Professor of Engineering Sciences",,09/10/2025,,,,
E2-1288AC,,,,,,,,"(1964, March 23)","The President
University of the Philippines Campus

Subject : Third Progress Report 

Dear Mr. President :

On 6 March 1964 the undersigned was commissioned ""to handle the UP part of the liquidation of NEC-AID properties..."" To prepare himself for the obligations anent this commission he consulted records at all levels. Amongst his findings there are two which should be cast in sharp focus and rendered in bold relief because they affect reputations of individuals as well as the integrity of the state university. The enumeration of these findings is hereunder placed after the statement of performance in order that their bearing on the liquidation efforts may be discerned rightly. 
Performance
Using no other records than those in the possession of the property office earlier than 1963, the task of assembling an inventory covering dollar commodities in the numerous P.A.'s under CP 20, CP 30, CP 65 and CP 430, 530...930 got under way on 29 February 1964. On 13 March 1964, an inventory exceeding $1,275,-000 was completed and submitted to NEC. A meeting amongst NEC, AID and UP has been scheduled to be held on 31 March tentatively. [The preceding paragraph was quoted in advance on 16 March in response to President Romulo's request for comments on the letter of the Business Executive].
On 19 March additional sheets of For 41-A coveirng over $26,000 worth of ICA books and periodicals were forwarded to NEC. Recognition is hereby recorded in favor of Mr. Fidel Camaniag of the property office, who contributed about 30 per cent of these additional materials. 
At the present time we are in the midst of segregating equipment in PA 3034 and PA 2283 into two groups; namely the Chemistry group and the Pharmacy group. PA 3034 and PA 2283 represent about $200,000 issued in FY 1951-1952 and FY 1952-1953 to CP 30. I was not the project director of this counterpart project; I believe Dr. Virata was the project director. 
Findings
The findings referred to in the first paragraph of this report may be classified under two headings; namely, inability to read the score and propensity to make untrue statements. The following illustrations are presented. 
I. Inability to read the score. 
During the months of January and February four persons in the various offices of the Business Executive informed the undersigned on different occassions in a tone of finality that the UP team who had been going to NEC to gather records needed to continue going there before they could construct the list of items for which he was being held accountable. For the purpose of safeguarding the reputation of other employees of said offices, I hereby record the names of the aforementioned persons as Professor Jose Campos, Jr.; Business Executive; Mr. Arsenio Talingdan, Management Analyst and IBM Coordinator; Mr. Carlos Antonio, In-charge Property Division; and Mr. Adriano Cabel, Chief Inventory Section. The behaviour of these four officers of the UP proves that they did not know the score of the liquidation efforts in June 1963 and proves further that they had not learned how to read the score from June 1963 to January 1964. For as stated in the first paragraph of this letter the inventory for $1,275,000 of ICA commodities was based on the records that had been in their hands earlier than June 1963.
The Business Executive was right in saying that money was wasted in sending the UP team to NEC in the sense that they spent time gathering records for PA 2265, PA 3029, PA 3047 and PA 6518 and perhaps PA 2324, which records have been always in the files of the College of Engineering (not in Ortigas' file). Again an example of inability to read the score. 
One more illustration. On 14 August 1962 Prof. Campos wrote : ""As of now, the remaining stumbling block for the finalization of this turnover is the uncooperation of the College of Engineering."" The real stumbling block as recently revealed is the ICA property that went to Chemistry and Industrial Pharmacy in 1952 and 1953.
II. Propensity for Untrue Statements
(a) On 9 March the Business Executive wrote that the property office had complete records of the commodities received in 1952 and 1953. However, on 29 October 1962 he wrote : ""All the equipment coming under various projects from 1952 up to 1960 were delivered direct to the different units of the university thru their respective project directors who took charge of distributing said items.""
It is obvious that the two statements mentioned above cannot be both true. Since I was not a project director during FY 1952 and FY 1953 I requested in writing for a loan of the ""complete records"" that was referred to in 9 March statement because such records would be useful for the segregation of ICA Chemistry commodities from the ICA Pharmacy commodities. Mr. Cabel of the property office informed my emissary that there were no other records than the PA 2283 and PA 3034 and PA 3049 folders, which were obtained from NEC around 1962.
(b) On 4 March 1964 the Business Executive wrote : ""This work on the liquidation of NEC-AID was entrusted by the President to the undersigned (Prof. Campos) in June, 1962. The help of Prof. Ortigas was sought thru the Dean but we did not hear from him until January 1964..."" This statement is false. I never heard from the Business Executive nor from the Dean. 
Recommendations
The inability to read the score together with the propensity for untruth amy be only a mechanism of defense which results from a face-saving struggle for survival. If this be the case then the sooner assistance is extended to Prof. Campos, Mr. Talingdan, Mr. Antonio and Mr. Cabel either separately or collectively the better it will be for the university. For this purpose, I recommend that : 
I. A corps of technical assistance volunteers (TACV) be constituted immediately to guide the above enumerated persons in the performance of their duties in connection with NEC-AID properties. The nucleus of thsi corps shall include the present project director or deputy director of C.P.'s 6030, 6130, 6230 and6330, the former project director of C.P. 20, C.P. 30 and C.P. 65, and the former project director of C.P.'s 430, 530...930. (The above mentioned nucleus involves so far only two persons : President Romulo or Vice-President Virata and Prof. Ortigas).
II. To enable this TACV to render assistance quickly and effectively the Business Executive shall furnish said TACV with copies of the lists of NEC-ICA properties covered by the transfer of accountability in the following cases : 
1. Geology Department 
(a) From Dr. Feliciano to Dr. Tupas
(b) From Dr. Tupas to Dr. Gonzales
2. College of Pharmacy
(a) From Dean Valenzuela to Dean Santos
3. Physics Department
(a) From Prof. de la Cruz to Dr. Magno
4. Chemistry Department
(a) From Dr. Clemente to Dr. Salcedo
(b) From Dr. Salcedo to Dr. Tentamatay
(c) From Dr. Tentamatay to Dr. Pulido
Yours truly, 
C. A. ORTIGAS
Professor of Engineering Sciences ",,09/11/2025,,,,
E2-1289AC,,,,,,,,"(1964, April 6)","The President
University of the Philippines Campus
Dear Mr. President :
Last month the undersigned submitted a request for the issuance of a deed of clerance in his favor on the basis of precedents. He maintained then as he continues to maintain now that it is not right for the Business Executive's office to hold him responsible for NEC-ICA properties that had been accounted for by end-users to the satisfaction of the B.E.'s office during the years prior to President Romulo's regime. Without retreating from this position he hereby renews that request on the basis of justice. 
Seen from the affirmative side of the proposition that foreign aid is mutually beneficial to U.S. and R.P. as conceived in the Quirino-Foster Agreement signed by President Quirino on behalf of R.P. and Mr. William C. Foster representing President Harry S. Truman on 14 November 1950 the University of the Philippines is honor-bound to acknowledge its accountability to AID-NEC for properties received under counterpart projects operated by her. The Business Executive must have become acutely aware of his inability to account for NEC-AID properties last June when AID informed UP that UP's accountability exceeds by far the $600,000 inventory that UP was submitting for consideration at that time. Instead of requesting my assistance right there and then he abandoned the liquidation efforts for seven months; and in January 1964 he held up my clearance. This is an act of injustice; becauase the paucity of their inventory was the consequence of the negligence of his office. If the B.E. has asked me to help him at the time that President Romulo assigned to him the task of liquidating the NEC-ICA counterpart projects which President Sinco had taken over, the title to the properties would have been transferred to UP within the summer of 1963. How is this estimate arrived at? ANSWER : In less than three weeks in March, an inventory covering all PA's under CP 20, CP 30, CP 65, CP 430, 530, 930 was assembled in Form 41-A. In other words, the work that the B.E.'s office neglected to do during four years of Tan regime, the entire Sinco regime and the first year of Romulo regime could have been made up within one summer last year or earlier. 
In view of the foregoing, I hereby again reiterate in the name of fair play that the commander-n-chief of the University of the Philippines grant my previous request, which is detailed as follows : 
(1) Release the second half of my commutation leave; and 
(2) Issue a deed of clearance in my favor. 
Yours truly, 
C.A. ORTIGAS
Professor of Engineering Sciences ",,09/11/2025,,,,
E2-1290AC,,,,,,,,"(1964, May 14)","The President
University of the Philippines Campus

Dear Mr. President :

I shall be at the Central Philippine University from 15 May to 27 June for the National Science Development Board - Asia Foundation - supported summer institute for upgrading high school physics teachers in the Visayas. This information is being furnished in connection with my participation in the liquidation of NEC-AID equipment, which operation is not yet completed; the delay being caused by difficulties encountered in the location of and accounting for some $20,000 worth of commodities received under PA 2283 and PA 3034. 
The personnel of the chemistry department started to trace the whereabouts of the above mentioned articles in April, but the problem still remains unsolved. There are about $20,000 worth of commodities duly acknowledged to have been received by the University but they cannot be located in the premises of the Department of Chemistry. Perhaps one-half of these are supplies and perishables. On the other hand, there are many pieces of equipment in the Department of Chemistry which are marked with ICA-PHILCUSA emblems and bear PHILCUSA property numbers, but these equipment do not appear in the original invoices and shipping documents. 
In a conference between the head of the chemistry department and the undersigned yesterday, it was agreed that an ad hoc inventory team consisting of members from the chemistry department and members from the Business Executive's office to match records against existing equipment in the chemistry laboratories which bear the markings of PHILCUSA or FOA but whose names and descriptions do not appear in the original invoices might find the key to the solution of this ticklish problem. It is probable that some pieces of equipment purchased by the University of the Philippines' money were wrongly labelled PHILCUSA while some pieces of equipment donated by AID were labelled erroneously as UP Property. This suggested solution is a simple operation but is difficult to get it started, hence this appeal to the commander-in-chief of the University.
Recommendation
I. It is recommended that an ad hoc committee such as described above consisting of two members from chemistry and two from property and supply office be formed and instructed to start the work soon. The lists of equipment referred to are in the possession of Dr. Pulido and the details of the operation of this team had been threshed out by Dr. Pulido and myself to the extent that my physical presence in the premises will not be needed in the next six weeks. It is also recommended that the commission of the undersigned ""to participate in the liquidation operation"" be extended to July 31, 1964 inasmuch as there are still other things to be done with respect to other procurement authorizations. 
II. It is further recommended that the University of the Philippines put her records straight with respect to the involvement of various UP personnel in the counterpart projects. Permit me to illustrate : - As indicated in one of his letters to the President the Business Executive was under the impression that the undersigned was the project director of CP 30 (Rehabilitation of the School of Chemistry) the counterpart project to which were issued PA 2283 and PA 3034 in Fiscal Years 1952 to 1953. We have been informed by the AID-Education Division that the director of said project was Executive Vice President Virata from the time it was established to the time that part of the project was incorporated wiht CP 430 (Rehabilitation of the UP College of Engineering) which went into effect legally in October 14, 1953 when pertinent documents were signed by the director of USOM and the Chairman of PHILCUSA. Dr. Vidal A. Tan, then UP President, recommended Prof. C.A. Ortigas to be the project director of CP 430 (Rehabilitation of the UP College of Engineering) on August 26, 1953. True copies of the letter of President Tan to Mr. C.V. Crucillo, Mr. Crucillo's letter, and that of the Agreement on the Rehabilitation of the UP College of Engineering are hereto attached. 
The undersigned respectfully requests that the University of the Philippines request AID and/or NEC for further documentation that might help the various offices of the University to obtain a clear picture of the liquidation problems. 
Yours truly, 
C.A. ORTIGAS
Professor of Engineering Sciences ",,09/11/2025,,,,
E2-1291AC,,,,,,,,"(1953, August 26)","Sir : 
A copy of your memorandum circular dated August 7, 1953, designating certain members of the faculty as project directors of counterpart projects nos. 20, 30, 31 and 65 received by this Office. Please be informed, however, that the counterpart budgets of Projects Nos. 20, 30 and 65 for FY 1953-54 have been consolidated into one counterpart budget for the Rehabilitation of the U.P. College of Engineering. PHILCUSA now considers these three projects as one project and desires that there should be only one project director. Under the new counterpart agreement which PHILCUSA has submitted to FOA, the Dean of the College of Engineering is designated project director of the combined counterpart project. 
Very respectfully, 
For the Executive Secretary : 
Signed : CORNELIO V. CRUCILLO 
Technical Adviser
(Coordinator of Projects) ",,09/11/2025,,,,
E2-1292AC,,,,,,,,"(1953, October 14) ","COUNTERPART PROJECT NO. 430
AGREEMENT ON THE REHABILITATION OF THE U.P. COLLEGE OF ENGINEERING
1. Description of Project :
To afford a better coordination and a more effective implementation of all activities aimed at the rehabilitation and improvement of the educational facilities and instructional staff of the U.P. College of Engineering, the Mining School Rehabilitation (Counterpart Project No. 20), the Rehabilitation of the U.P. College of Chemical Engineering (Counterpart Project No. 30) and the Improvement of the Instructional Facilities of the U.P. College of Engineering (Counterpart Project No. 65), have all been merged into one under this project. 
During FY '54, activities will be directed towards the acquisition, receipt and installation of needed laboratory equipment and towards the construction of a chemical engineering laboratory building. This laboratory building will house the bigger pieces of laboratory equipment now causing congestion in their present locations. The engineering laboratory building provided for in the Improvement of the Instructional Facilities of the U.P. College of Engineering (Counterpart Project No. 65) is expected to be completed by the end of the second quarter. In view thereof, large machinery and equipment will have to be installed. 
2. Financing : 
Budgetary requirements of this project will be financed by withdrawals from the Counterpart Fund-Special Account, in conjunction with regularly appropriated funds of the U.P. College of Engineering, and counterpart funds provided for the Improvement of Instructional Facilities of the U.P. College of Engineering Project (Counterpart Project No. 65), the budget for which will expire on September 30, 1953. The University of the Philippines will provide P100,000 out of its regular funds to cover its share in the cost of the chemical engineering laboratory building. 
3. Counterpart Project Budget
The counterpart budget for this project will be for the period July 1, 1953 to June 30, 1954, in the amount of P345,000 as shown in detail in the attached budget of expenditures. These funds will be used for payment of obligations incurred prior to the effective date of this agreement. 
4. Operating Procedure :
An initial release of funds to the Dean, College of Engineering, U.P., in the amount of P90,000 for the first quarter (July 1 to September 30, 1953), is authorized at the time of approval of this agreement. 
Subsequent releases of funds will be made by PHILCUSA in accordance with need and upon submission of monthly financial reports by the project director in accordance with the provisions of Section 6 hereof. 
Funds released to the project director will be deposited in the Philippine National Bank in a current account designated ""University of the Philippines (Counterpart Project No. 430).""
Withdrawals will be made by checks signed by the project director designated by the President of the University of the Philippines and countersigned by the comptroller of the University. 
No obligations will be incurred subsequent to June 30, 1954. 
Payment of outstanding obligations will be made within 60 days from June 30, 1954. Any funds then remaining will be returned to PHILCUSA and deposited in the Counterpart Fund-Special Account. 
A final report on the project will be submitted to PHILCUSA and to the USOM Comptroller not later than 90 days after June 30, 1954. 
5. Property Acquisition and Disposition
All items of equipment and/or furniture and fixtures acquired with counterpart funds will be properly labelled with the joint FOA/PHILCUSA emblem, and a permanent record of each item showing the cost, location, vendor's name and procuring voucher number will be maintained. All equipment acquired by the project and all supplies not consumed will be turned over to PHILCUSA upon completion of their use or completion of this project for such utilization or disposition as PHILCUSA and FOA/STEM determine. 
Properties and funds of this project will be subject to physical examination and the books of accounts and other records including property records being maintained by the project director will be subject to audit and examination by PHILCUSA and the FOA Mission Controller, at such reasonable times as they may desire to make such examination. 
6. Reporting Procedure :
Montly reports of receipts, disbursements and outstanding obligations or commitments, on forms prescribed by FOA/PHILCUSA, together with a trial balance, will be submitted by the project director to PHILCUSA and to the FOA Mission Controller not later than 10 days following the close of each month. Complete instructions for the preparation of these reports are contained in the Manual ""Reporting Requirements for Counterpart Fund Projects"", copy of which was furnished each project director and accountant. The ""Reporting Requirements"" are hereby made a part of this agreement by reference. 
Quarterly reports of project progress and status will be submitted by the project director to PHILCUSA and to the FOA Mission not later than the 15th day following the close of the quarter.
7. Date of Effectivity
The effective date of this agreement is the first day of the budget period. 
(SGD). HARRY A. BRENN
Director, USOM
(SGD). PLACIDO L. MAPA
Chairman, PHILCUSA",,09/12/2025,,,,
E2-1293AC,,,,,,,,"(1964, May 14)","Fourth Progress Report
The President
University of the Philippines Campus

Dear Mr. President :
I shall be at the Central Philippine University from 15 May to 27 June for the National Science Development Board- Asia Foundation supported summer institute for upgrading high school physics teachers in the Visayas. This information is being furnished in connection wiht my participation in the liquidation of NEC-AID equipment, which operation is not yet completed; the delay being caused by difficulties encountered in the location of and accounting for some $20,000 worth of commodities received under PA 2283 and PA 3034. 

The personnel of the chemistry department started to trace the whereabouts of the above mentioned articles in April, but the problem still remains unsolved. There are about $20,000 worth of commodities duly acknowledged to have been received by the University but they cannot be located in the premises of the Department of Chemistry. Perhaps one-half of these are supplies and perishables. On the other hand, there are many pieces of equipment in the Department of Chemistry which are marked with ICA-PHILCUSA emblems and bear PHILCUSA property numbers, but these equipment do not appear in the original invoices and shipping documents. 

In a conference between the head of the chemistry department and the undersigned yesterday, it was agreed that an ad hoc inventory team consisting of members from the chemistry department and members from the Business Executive's office to match records against existing equipment in the chemistry laboratories which bear the markings of PHILCUSA or FOA but whose names and descriptions do not appear in the original invoices might find the key to the solution of this ticklish problem. It is probable that some pieces of equipment purchased by the University of the Philippines' money were wrongly labelled PHILCUSA while some pieces of equipment donated by AID were labelled erroneously as UP Property. This suggested solution is a simple operation but it is difficult to get it started, hence this appeal to the commander-in-chief of the University. 

Recommendations

I. It is recommended that an ad hoc committee such as described above consisting of two members from chemistry and two from property and supply office be formed and instructed to start the work soon. The lists of equipment referred to are in the possession of Dr. Pulido and the details of the operation of this team had been threshed out by Dr. Pulido and myself to the extent that my physical presence in the premises will not be needed in the next six weeks. It is also recommended that the commission of the undersigned ""to participate in the liquidation operation"" be extended to July 31, 1964 inasmuch as there are still other things to be done with respect to other procurement authorizations. 

II. It is further recommended that the University of the Philippines put her records straight with respect to the involvement of various UP personnel in the counterpart projects. Permit me to illustrate : - As indicated in one of his letters to the President the Business Executive was under the impression that the undersigned was the project director of CP 30 (Rehabilitation of the School of Chemistry) the counterpart project to which were issued PA 2283  and PA 3034 in Fiscal Years 1952 to 1953. We have been informed by the AID-Education Division that the director of said project was Executive Vice President Virata from the time it was established to the time that part of the project was incorporated with CP 430 (Rehabilitation of the UP College of Engineering) which went into effect legally in October 14, 1953 when pertinent documents were signed by the director of USOM and the Chairman of PHILCUSA. Dr. Vidal A. Tan, then UP President, recommended Prof. C.A. Ortigas to be the project director of CP 430 (Rehabilitation of the UP College of Engineering) on August 26, 1953. True copies of the letter of President Tan to Mr. C.V. Crucillo, Mr. Crucillo's letter and that of the Agreement on the Rehabilitation of the UP College of Engineering are hereto attached. 

The undersigned respectfully requests that the University of the Philippines request AID and/or NEC for further documentation that might help the various offices of the University to obtain a clear picture of the liquidation problems.

Yours truly, 

C.A. ORTIGAS
Professor of Engineering Sciences ",,09/12/2025,,,,
E2-1294AC,,,,,,,,"(1953, August 26)","Sir :
A copy of your memorandum circular dated August 7, 1953, designating certain members of the faculty as project directors of counterpart projects nos. 20, 30, 31 and 65 was received by this Office. Please be informed, however, that the counterpart budgets of Projects Nos. 20, 30 and 65 for FY 1953-54 have been consolidated into one counterpart budget for the Rehabilitation of the U.P. College of Engineering. PHILCUSA now considers these three projects as one project and desires that there should be only one project director. Under the new counterpart agreement which PHILCUSA has submitted to FOA, the Dean of the College of Engineering is designated project director of the combined counterpart project. 
Very respectfully, 

For the Executive Secretary :
Signed : CORNELIO V. CRUCILLO
Technical Adviser
(Coordinator of Projects) ",,09/12/2025,,,,
E2-1295AC,,,,,,,,"(1964, April 6)","The President
University of the Philippines Campus

Dear Mr. President :
Last month the undersigned submitted a request for the issuance of a deed of clearance in his favor on the basis of precedents. He maintained then as he continues to maintain now that it is not right for the Business Executive's office to hold him responsible for NEC-ICA properties that had been accounted for by end-users to the satisfaction of the B.E.'s office during the years prior to President Romulo's regime. Without retreating from this position he hereby renews that request on the basis of justice. 
Seen from the affirmative side of the proposition that foreign aid is mutually beneficial to U.S. and R.P. as conceived in the Quirino-Foster Agreement signed by President Quirino on behalf of R.P. and Mr. William C. Foster representing President Harry S. Truman on 14 November 1950 the University of the Philippines is honor-bound to acknowledge its accountability to AID-NEC for properties received under counterpart projects operated by her. The Business Executive must have become acutely aware of his inability to account for NEC-AID properties last June when AID informed UP that UP's accountability exceeds by far the $600,000 inventory that UP was submitting for consideration at that time. Instead of requesting my assistance right there and then he abandoned the liquidation efforts for seven months; and in January 1964 he held up my clearance. This is an act of injustice; because the paucity of their inventory was the consequence of the negligence of his office. If the B.E. had asked me to help him at the time that President Romulo assigned to him the task of liquidating the NEC-ICA counterpart projects which President Sinco had taken over, the title to the counterparts would have been transferred to UP within the summer of 1963. How is this estimate arrived at? ANSWER : In less than three weeks in March, an inventory covering all PA's under CP 20, CP 30, CP 65, CP 430, 530,...930 was assembled in Form 41-A. In other words, the work that the B.E.'s office neglected to do during four years of Tan regime, the entire Sinco regime and the first year of Romulo regime could have been made up within one summer last year or earlier. 
In view of the foregoing, I hereby again reiterate in the name of fair play that the commander in chief of the University of the Philippines grant my previous request, which is detailed as follows : 
(1) Release the second half of my commutation leave; and 
(2) Issue a deed of clearance in my favor 
Yours truly, 
C.A. ORTIGAS
Professor of Engineering Students. ",,09/12/2025,,,,
E2-1296AC,,,,,,,,"(1964, July 14)","Dr. Joseph T. Howard
President, Central Philippine University
Iloilo City

Dear Dr. Howard : 
This is to reply to your offer to the undersigned to join Central Philippine University as ""Coordinator of Science and Math Teacher Training."" I understand that an employment such as stated in your letter is customarily covered by a contract. It is therefore suggested that the following three points be spelled out in the contract : 
I. Manner of Compensation : This question is being mentioned first because on 2 July we agreed to hold it in abeyance and recently I heard that you were about to write me about it. It has come to my knowledge that directors, deans, etc. in Central Philippine University are given flat-rate compensation as dean or as director and an additional compensation for teaching assignments depending on the number of units carried. May I say that this system is to my liking because it will enable me to limit my teaching load to the extent that my performance as coordinator may be maintained at peak levels? 
II. Relationship Between the Coordinator on the one hand and Directors on the other. This point has particular reference to the clause ""you will be free to develop this program in consultation with the Administration as you saw fit and within the financial limitations of the University's budget."" As regards this mandate, I propose that it be stated in the agreement that the Coordinator of Science and Math Teacher Training will be responsible to the President only and not subject to 'overrule' by any CPU Administration officer other than the President. 
III. Quarters. The undersigned hereby requests that he be provided living quarters in one of the mission houses at a rate to be determined by Central Philippine University. The living quarters may be part of a house or the whole house. He strongly believes that his work as coordinator can be best performed if he lives within the campus and in a house which will provide an academic atmosphere. I have been in some of your mission houses and there I felt this kind of atmosphere. 
COMMENTS
(Not part of agreement)
Two Phases. The Science and Math Teacher Training Program may be divided into two phases, namely : the development phase and the operation phase. At the present time there is no science and math teacher training program in CPU; therefore the work must start with planning and development. During the undersigned's tour of duty with NSDB Summer Institute at Central Philippine University last summer a one-year curriculum designed to convert holders of B.S. pre-medic into physics teachers was drafted by Dr. Cathedral, Prof. Sornito and the undersigned. Perhaps this curriculum will provide the starting point of the development of the Science and Math Teacher Training Program. One encouraging aspect of this one-year curriculum is the inclusion of four courses (two in mathematics of 3 units each; and two in physics of 3 units each) which were offered in the NSDB Summer Institute. Complete syllabi for these four courses could be worked out during 1964-65 while they are being taught; - as a start in the implementation of the program. 
Sincerely yours, 

C.A. ORTIGAS ",,09/12/2025,,,,
E2-1297AC,,,,,,,,"(1964, July 30)","The President
University of the Philippines Campus
Dear Mr. President : 
This morning, officials of NEC, AID and UP held a meeting at the Board of Regents room. The undersigned attended this meeting upon the invitation of the U.P. Business Executive. 
One of the items discussed was the transfer from AID to UP of the dollar commodities that were acquired under Procurement Authorizations issued during the time when the undersigned was Project Director. The transfer was not made during this meeting; - there are things yet to be done by NEC and ICA on the one hand and the University of the Philippines on the other. It was apparent from the pace of the deliberations during the meeting that the undersigned's assistance to the early transfer of these commodities is still needed. In view of this, I hereby request that my commission to participate in the liquidation efforts be extended until such efforts are terminated. 
Truly yours, 

C. A. ORTIGAS 
Professor of Enginering Sciences ",,09/12/2025,,,,
E2-1298AC,,,,,,,,"(1964, September 17)","General Carlos P. Romulo
President, University of the Philippines
Diliman, Quezon City
Dear Mr. President :
In view of the fact that Dr. Virata has already been issued clearance by the University of the Philippines as revealed to Mrs. Ortigas by Mr. Antonio of the Business Executive Office the undersigned, who retired six months earlier, hereby requests that a clearance be issued to him likewise. 
It will be recalled that the Business Executive held up my clearance because of his state of helplessness with respect to the liquidation of NEC-AID dollar commodities, which were issued to UP from 1951 to 1960. This situation gradually cleared up to the extent that by July 30, 1964 it was accepted that the remaining mess lay in the dollar commodities requisitioned for chemistry department and the College of Pharmacy and Geology department before the middle of 1953. The project director of the counterpart projects up to then was Dr. Virata, which can be verified from the records of AID. The Business Executive erroneously held me accountable for these commodities because the progressive percentage receipts for commodities from these (pre-1953) projects were constantly and consistently carried in my quarterly and annual reports to NEC since FY 1954 in accordance with the form prescribed by that office.
At any rate the impediments to the issuance of clearance were the Chemistry-Industrial Pharmacy ""mess"". These impediments vanished when clearance was issued to Dr. Virata. Believing that I am entitled to an equally fair treatment, I reiterate my request that UP issue my clearance at its earliest convenience so that I may be relieved of inconvenience which has been forced upon my way of life since 2 Feb. 1964. 
Very truly yours,

C.A. ORTIGAS ",,09/12/2025,,,,
E2-1299AC,,,,,,,,"(1964, October 28)","Dean Francisco Nemenzo
College of Arts and Sciences
University of the Philippines
Diliman, Quezon City

Dear Dean Nemenzo :
This is a follow-up of our conversation last Friday (23 Oct. 1964). 
I am convinced that the delay of my clearance stems from the absence of earnest concern and enlightened sensibility on the part of the preceding Business Executive coupled with the lack of competence on the part of UP officials that former President Sinco placed in the offices that he created and accentuated by the fear of said offcials to bring the matter to the attention of the President lest the seriousness of their incompetence be discovered. 
The facts of the matter may be summarized as follows : I was retired on 2 Feb. 1964. My clearance has been held up since then by Business Executive Jose Campos, Jr., who unjustly alleged that the repeated failures of his attempts to secure the title to dollar equipment obtained from ICA thru various counterpart projects was due to my inability to account for properties received by the UP under my tour of duty as project director. 
The records now available in the University at NEC and ICA show that properties received thru procurement authorizations (PA's) issued in the counterpart projects of which I was project director have been accounted for. It is true that there are properties that have not been duly accounted for but these were requisitioned in counterpart projects which other persons were directing, or helping to direct. Some of these persons are still in the payroll of the University. Among them may be mentioned Dr. Enrique Virata, Dr. Augusto Tenmatay, Mrs. Lolita Asuncion, Prof. Enrique Astrea, Prof. Roman Ramos, and Prof. Arsenio Gonzales. 
It might be relevant to mention at this moment that the work of adjusting prices of properties and pin-pointing continuing responsibilities for existing equipment is going very slowly of lack of attention on the part of the officials using said equipment. Now this failure to adjust prices and pin-point responsibilities by the mere process of signing memorandum receipts is not a legitimate reason for holding up the clearance of a professor who has retired nine months  before and who was expended a large part of this nine months helping UP straighten out the confusion in its liquidation efforts without any compensation. I am pouring out these sentiments to you in the belief that as Acting Business Executive you might be able to cause this case to be given due attention. 
Let me mention further that Dr. Jose Feliciano, Dr. Amando Clemente and Dr. Ignacio Salcedo had been cleared of accountability for these dollar equipment for which I am being now unjustly held accountable. This action automatically transfers the accountability of the equipment to the property officers of the University, who issued the clearances to these gentlemen? May not this transferred responsibility be the real reason why they are holding up my clearance? If this is so then they are guilty of a serious misbehavior. 
I understand that GSIS has sent to UP a request for my clearance. I wonder if the GSIS request has reached you already. This appears to be a proper stimulus for following up my case. 
Sincerely yours, 
C.A. ORTIGAS",,09/12/2025,,,,
